,team,possession,possession in contest,goals,date,hour,stage,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,xg,attendance,stadium,referee,formation,touches,tackles,interceptions,aerials_won,clearances,gks,throw_ins,long_balls,rival,team_id,total attempts_against,goal inside the penalty area_against,goal outside the penalty area_against,assists_against,on target attempts_against,off target attempts_against,attempts inside the penalty area_against,attempts outside the penalty area_against,left channel_against,left inside channel_against,central channel_against,right inside channel_against,right channel_against,total offers to receive_against,inbehind offers to receive_against,inbetween offers to receive_against,infront offers to receive_against,receptions between midfield and defensive lines_against,attempted line breaks_against,completed line breaks_against,attempted defensive line breaks_against,completed defensive line breaks_against,yellow cards_against,red cards_against,fouls against_against,offsides_against,passes_against,passes completed_against,crosses_against,crosses completed_against,switches of play completed_against,corners_against,free kicks_against,penalties scored_against,goal preventions_against,own goals_against,forced turnovers_against,defensive pressures applied_against,xg_against,formation_against,touches_against,tackles_against,interceptions_against,aerials_won_against,clearances_against,gks_against,throw_ins_against,long_balls_against
30,Brazil,51%,9%,1,28-Nov-22,17:00,Group stage,9,0,1,0,1,5,2,6,3,19,12,5,5,11,659,154,218,287,16,164,114,20,11,1,0,10,3,565,498,26,3,6,8,18,0,4,0,85,282,1.0,43649,Stadium 974,Iván Barton,4-3-3,710,21,10,8,9,2,24,43,Switzerland,202204,4,0,0,0,0,1,2,2,7,3,4,6,10,568,128,212,228,4,173,100,17,4,1,0,17,1,488,415,11,3,2,3,13,0,9,0,80,344,0.3,4-2-3-1,616,18,4,5,26,10,18,55
31,Portugal,53%,12%,2,28-Nov-22,20:00,Group stage,14,0,1,1,0,4,7,4,10,17,9,4,9,11,752,142,327,283,11,170,112,11,7,3,0,10,2,596,517,16,4,9,6,15,1,11,0,68,226,1.3,88668,Lusail Iconic Stadium,Alireza Faghani,4-1-2-1-2,735,10,7,15,17,8,19,72,Uruguay,202222,10,0,0,0,3,6,6,4,13,8,4,5,9,413,115,155,143,6,150,86,17,11,2,0,16,0,390,306,18,5,2,2,13,0,14,0,81,362,1.3,3-5-2,533,12,12,7,12,11,18,49
32,Ecuador,51%,17%,1,29-Nov-22,16:00,Group stage,8,2,1,0,1,4,3,5,3,13,3,1,6,6,453,83,174,196,2,146,77,10,2,0,0,23,0,432,353,19,6,1,3,14,0,15,0,59,190,0.9,44569,Khalifa International Stadium,Clément Turpin,4-3-3,580,15,7,21,19,9,23,77,Senegal,202210,15,2,0,0,5,8,11,4,14,0,2,7,10,268,76,115,77,12,153,84,20,12,1,0,11,3,269,198,20,5,6,6,22,1,8,0,62,243,2.1,4-2-3-1,427,10,10,17,29,6,17,71
33,Netherlands,54%,8%,2,29-Nov-22,16:00,Group stage,13,0,2,0,1,4,5,10,3,25,9,8,11,21,785,157,322,306,16,185,165,13,10,1,0,19,4,795,740,11,1,1,4,9,0,5,0,62,319,1.6,66784,Al Bayt Stadium,Bakary Papa Gassama,3-4-1-2,913,16,10,10,11,7,13,41,Qatar,202220,6,0,0,0,4,2,2,4,10,7,5,4,6,574,100,245,229,11,161,107,15,10,0,0,9,0,459,394,16,4,10,2,24,0,14,0,52,322,0.1,5-3-2,521,9,12,7,9,9,9,75
34,Wales,33%,10%,0,29-Nov-22,20:00,Group stage,7,3,0,0,0,1,3,1,6,7,1,2,0,4,388,71,138,179,1,104,55,4,1,2,0,16,1,325,261,4,1,1,1,10,0,17,0,49,328,0.3,44297,Ahmed bin Ali Stadium,Slavko Vinčič,4-2-3-1,443,12,7,9,17,7,18,70,England,202232,17,2,1,2,7,6,13,4,10,4,7,12,9,777,140,310,327,9,167,131,13,8,0,0,9,1,588,529,17,7,6,6,17,0,8,0,56,167,2.4,4-3-3,700,6,5,12,7,4,16,50
35,Iran,42%,13%,0,29-Nov-22,20:00,Group stage,6,1,0,0,0,2,4,5,1,12,2,5,3,4,492,94,223,175,9,195,102,23,8,3,0,13,2,463,379,18,3,11,1,11,0,13,0,63,295,0.4,42127,Al Thumama Stadium,Antonio Matéu,4-4-1-1,619,22,12,18,18,7,21,92,United States,202215,12,1,0,1,5,4,8,4,11,7,7,5,17,697,133,262,302,17,185,133,27,16,1,0,10,1,470,413,22,2,8,5,15,0,6,0,74,302,1.2,4-3-3,646,12,5,18,21,6,22,69
36,Australia,24%,16%,1,30-Nov-22,16:00,Group stage,8,0,1,0,1,4,2,3,5,9,2,2,1,11,302,88,114,100,8,166,81,17,7,2,0,11,1,286,187,11,2,1,2,13,0,14,0,90,341,0.6,41232,Al Janoub Stadium,Mustapha Ghorbal,4-4-2,468,15,12,26,33,9,32,82,Denmark,202202,14,0,0,0,3,7,11,3,27,5,4,6,19,640,146,259,235,17,241,172,21,17,1,0,10,3,650,567,32,5,9,6,12,0,8,0,74,161,0.6,4-3-3,827,11,7,17,19,4,27,106
37,Tunisia,30%,14%,1,30-Nov-22,16:00,Group stage,5,0,0,1,1,3,2,2,3,11,3,4,0,10,381,99,175,107,9,153,96,21,7,1,0,14,3,328,266,27,4,4,7,8,0,11,0,68,400,0.5,43627,Education City Stadium,Matt Conger,3-4-3,493,22,9,9,23,7,30,65,France,202229,9,0,0,0,3,4,4,5,14,6,5,3,21,630,96,212,322,11,138,99,10,4,0,0,6,2,636,566,20,5,3,8,17,0,6,0,80,202,0.8,4-3-3,808,37,13,13,21,9,27,64
38,Saudi Arabia,29%,17%,1,30-Nov-22,20:00,Group stage,10,2,1,0,1,2,8,6,4,5,3,4,3,11,337,100,162,75,6,178,86,17,5,6,0,20,2,297,197,9,2,1,1,23,0,26,0,82,269,1.1,84985,Lusail Iconic Stadium,Michael Oliver,4-4-2,453,15,8,18,28,13,26,79,Mexico,202224,25,1,1,1,10,8,10,15,16,5,3,7,16,492,194,158,140,17,198,121,33,16,1,0,18,6,412,336,34,6,4,8,22,0,10,0,76,229,2.3,4-2-3-1,616,16,7,18,12,11,23,87
39,Poland,24%,9%,0,30-Nov-22,20:00,Group stage,4,2,0,0,0,0,2,2,2,6,2,1,2,3,328,62,126,140,2,117,66,5,1,1,0,6,0,321,261,5,2,8,1,12,0,25,0,67,438,0.3,44089,Stadium 974,Danny Makkelie,4-4-2,447,17,7,7,29,6,16,71,Argentina,202221,25,2,0,2,13,8,21,4,25,8,7,10,26,907,175,282,450,21,214,188,25,19,1,0,11,0,862,814,22,5,11,9,5,0,4,0,48,141,3.5,4-3-3,996,13,5,12,9,2,18,39
